Clase,Hongda Zhu,Songhe Wang,Xuanyi Qiu,Shenghao Ye
,,,,
scrabble/domain/DomainDriver.java,,,,X
scrabble/domain/controllers/ControladorDomain.java,,,X,
scrabble/domain/controllers/subcontrollers/ControladorConfiguracion.java,,,X,
scrabble/domain/controllers/subcontrollers/ControladorDiccionario.java,,,X,X
scrabble/domain/controllers/subcontrollers/ControladorJuego.java,,X,,
scrabble/domain/controllers/subcontrollers/ControladorJugador.java,,,X,
scrabble/domain/controllers/subcontrollers/ControladorRanking.java,X,,,
scrabble/domain/models/Bolsa.java,,X,,
scrabble/domain/models/Configuracion.java,,,X,
scrabble/domain/models/Dawg.java,,X,,
scrabble/domain/models/DawgNode.java,,X,,
scrabble/domain/models/Diccionario.java,,X,,X
scrabble/domain/models/Jugador.java,,,X,
scrabble/domain/models/JugadorHumano.java,,,X,
scrabble/domain/models/JugadorIA.java,,,X,
scrabble/domain/models/Ranking.java,,,X,
scrabble/domain/models/Tablero.java,,X,,
scrabble/domain/models/rankingStrategy/MaximaScoreStrategy.java,X,,,
scrabble/domain/models/rankingStrategy/MediaScoreStrategy.java,X,,,
scrabble/domain/models/rankingStrategy/PartidasJugadasStrategy.java,X,,,
scrabble/domain/models/rankingStrategy/PlayerRankingStats.java,X,,,
scrabble/domain/models/rankingStrategy/PuntuacionTotalStrategy.java,X,,,
scrabble/domain/models/rankingStrategy/RankingOrderStrategy.java,X,,,
scrabble/domain/models/rankingStrategy/RankingOrderStrategyFactory.java,X,,,
scrabble/domain/models/rankingStrategy/VictoriasStrategy.java,X,,,
scrabble/domain/persistences/implementaciones/RepositorioConfiguracionImpl.java,,,,
scrabble/domain/persistences/implementaciones/RepositorioDiccionarioImpl.java,,X,,
scrabble/domain/persistences/implementaciones/RepositorioJugadorImpl.java,,,X,
scrabble/domain/persistences/implementaciones/RepositorioPartidaImpl.java,,,X,
scrabble/domain/persistences/implementaciones/RepositorioRankingImpl.java,,X,,
scrabble/domain/persistences/interfaces/RepositorioConfiguracion.java,X,,,
scrabble/domain/persistences/interfaces/RepositorioDiccionario.java,X,,,
scrabble/domain/persistences/interfaces/RepositorioJugador.java,,,X,
scrabble/domain/persistences/interfaces/RepositorioPartida.java,,X,,
scrabble/domain/persistences/interfaces/RepositorioRanking.java,,,,X
scrabble/presentation/PresentationController.java,X,,,
scrabble/presentation/componentes/CasillaDisplay.java,X,,,
scrabble/presentation/componentes/DiccionarioVisual.java,,,X,
scrabble/presentation/componentes/Ficha.java,,,X,
scrabble/presentation/componentes/JugadorRanking.java,,,,X
scrabble/presentation/componentes/MusicManager.java,,X,,
scrabble/presentation/componentes/SoundEffects.java,,X,,
scrabble/presentation/popups/AñadirLetraPopup.java,X,,,
scrabble/presentation/popups/AñadirPalabraPopup.java,,X,,
scrabble/presentation/popups/CambiarFichasPopup.java,,,,X
scrabble/presentation/popups/ComodinPopup.java,,,X,
scrabble/presentation/popups/CrearJugadorPopup.java,,,X,
scrabble/presentation/popups/customDialogo.java,X,,,
scrabble/presentation/popups/EliminarJugadorPopup.java,,,,X
scrabble/presentation/popups/ImportarDiccionarioPopup.java,,X,,
scrabble/presentation/popups/ModificarPalabraPopup.java,,X,,
scrabble/presentation/popups/PausaPopup.java,X,,,
scrabble/presentation/viewControllers/ControladorConfiguracionView.java,,,X,
scrabble/presentation/viewControllers/ControladorDiccionarioView.java,X,,,
scrabble/presentation/viewControllers/ControladorJugadoresView.java,,,,X
scrabble/presentation/viewControllers/ControladorPartidaView.java,,,X,
scrabble/presentation/viewControllers/ControladorRankingView.java,,X,,
scrabble/presentation/viewControllers/MainViewController.java,,,,X
scrabble/presentation/views/ConfigPartidaView.java,,,X,
scrabble/presentation/views/ConfiguracionAyudaView.java,,,X,
scrabble/presentation/views/ConfiguracionGeneralView.java,,X,,
scrabble/presentation/views/ConfiguracionPartidaView.java,X,,,
scrabble/presentation/views/CrearDiccionarioView.java,,,,X
scrabble/presentation/views/GestionDiccionariosView.java,,,X,
scrabble/presentation/views/GestionJugadoresView.java,X,,,
scrabble/presentation/views/GestionPartidaView.java,,X,,
scrabble/presentation/views/HistorialJugadorView.java,,,X,
scrabble/presentation/views/ModificarDiccionarioView.java,,,,X
scrabble/presentation/views/RankingView.java,,X,,
scrabble/presentation/views/VistaTablero.java,X,,,
